id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980223193910279,NxEYfgpf1,1971712970,梅神壁纸GOAT-MESSI0,这一天就是欢乐🔥🇦🇷🏆🌟🌟🌟世界冠军——阿根廷世界冠军——梅西#阿根廷世界杯夺冠一周年##梅西##超话创作官##超话大赏#L梅神壁纸GOAT-MESSI0的微博视频,,,,"阿根廷世界杯夺冠一周年,梅西,超话创作官,超话大赏",2,0,24,2023-12-18 09:00,梅西超话,,"http://f.video.weibocdn.com/o0/o1JWBMselx08aY4AfzX201041200lXR00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997776&ssig=3n3GDrEmSj&KID=unistore,video",,辽宁
4978910326427291,Nx6OIqY1Z,6876500338,POP留声机,来自同学对追星的锐评...,,,,,4017,2859,85664,2023-12-14 18:03,,"['https://wx1.sinaimg.cn/large/007vn5RMgy1hkth28vafwj30qh1c644h.jpg', 'https://wx3.sinaimg.cn/large/007vn5RMgy1hkth29ge70j308h09u400.jpg']",,
4980223059692526,NxEY1EFt4,5685693839,多说垃圾话,感觉会躲厕所蹲梅西。。。,,,,,0,0,85664,2023-12-18 08:59,,,,4978910326427291,江苏
4980222841061663,NxEXG4sbB,7525306235,Cloud乱红,#C罗中国行票价#梅西的球迷可以出动了，我想看全场大喊梅西梅西梅西,,,,C罗中国行 票价,0,0,0,2023-12-18 08:58,iPhone客户端,,,,四川
4980222799907128,NxEXBFzio,2427613143,欧洲足球记录者,梅西👑#阿根廷世界杯夺冠一周年##足球#L欧洲足球记录者的微博视频,,,,"阿根廷世界杯夺冠一周年,足球",3,5,66,2023-12-18 08:58,世界杯超话,,"http://f.video.weibocdn.com/o0/KAZNkSXOlx08b27J98qk01041200A8is0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997776&ssig=%2BCiIfCWOLo&KID=unistore,video",,山东
4980222712349743,NxEXt9Rh5,5930448478,阿根廷与白羊座,微博年度关注男运动员评选，我已为@梅西LeoMessi10助力，你也快来一起参与吧！#体育大赏#O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 08:58,微博体育,,,,贵州
4980222674342557,NxEXpidHf,5930448478,阿根廷与白羊座,梅西2023#超话大赏#主打一个热爱！我pick的梅西入选年度竞技啦快来一起为TA增加热爱值吧！2023超话大赏,,,,超话大赏,0,0,0,2023-12-18 08:57,梅西超话,,,,贵州
4980222643931030,NxEXmguDI,5930448478,阿根廷与白羊座,唯热爱不可辜负！2023#超话大赏#火热进行中！我已为梅西注入一点热爱！快来2023超话大赏分享热爱，还可参与集卡赢实物大奖哦！,,,,超话大赏,0,0,0,2023-12-18 08:57,超话,,,,贵州
4980222439195099,NxEX1CA43,3005497695,Lungalice,🏅。。。🇦🇷阿根廷平面设计师《JonatanVera》作品《SelecciónArgentina/阿根廷国家队》～1。。。。。🏆🏅（网图）#小老太的世界杯##梅西超话#世界杯,,,,"小老太的世界杯,梅西超话",0,8,2,2023-12-18 08:57,微博网页版,"['https://wx1.sinaimg.cn/large/b324415fgy1hkwjbi79uij219i1r8h9a.jpg', 'https://wx2.sinaimg.cn/large/b324415fgy1hkwjbi53byj219c1qz7u5.jpg', 'https://wx3.sinaimg.cn/large/b324415fgy1hkwjbi2htej219i1r1e2z.jpg', 'https://wx3.sinaimg.cn/large/b324415fgy1hkwjbi53xuj219f1r4nlu.jpg', 'https://wx1.sinaimg.cn/large/b324415fgy1hkwjbi327nj219d1qz1j4.jpg', 'https://wx3.sinaimg.cn/large/b324415fgy1hkwjbi3zmxj219f1r4nms.jpg', 'https://wx1.sinaimg.cn/large/b324415fgy1hkwjbi4323j219f1r44qa.jpg', 'https://wx4.sinaimg.cn/large/b324415fgy1hkwjbi3rh5j219k1r4x3k.jpg', 'https://wx3.sinaimg.cn/large/b324415fgy1hkwjbi8hjkj219g1r2b02.jpg']",,,中国台湾
4980222216110396,NxEWFpDAM,5436432795,业余的孤独诗人,#阿根廷世界杯夺冠一周年#⚽️梅西加冕一周年👑,,,,阿根廷世界杯夺冠一周年,0,0,0,2023-12-18 08:56,荣耀90 Pro 写真相机,,,,吉林
4980222011380177,NxEWl5N2V,5459732654,不许不开心了,梅西再回忆一下吧,,,,,0,0,3,2023-12-18 08:55,梅西超话,"['https://wx4.sinaimg.cn/large/005XutS6ly1hkxnp4e66fj31kw11xqc8.jpg', 'https://wx4.sinaimg.cn/large/005XutS6ly1hkxnp9dw7fj36aj4141l5.jpg']",,,河南
